site	point	h	rank	hola	vesp	star	weme	lbcu	brbl	tres	mobl	amcr	savs	mayvgcov	mayvght	junvgcov	junvght	baregrnd	bryopht	feces	forbs	grass	litter	rocks	shrubs	trees
B_E	B_E10	0.87	2	6.727	1.727	0	0	0	0	0.091	0	0	0	21.3	5.5	21.4	6.6	52.33	11.38	1.9	18.44	26.44	5.06	1.29	0.04	0
B_E	B_E11	0.87	2	2.545	2.818	0.091	0.091	0	0.091	0.818	0.364	0.091	0	18.5	5.6	30.9	9.3	52.33	11.38	1.9	18.44	26.44	5.06	1.29	0.04	0
B_E	B_E12	0.87	2	12.364	1.727	0	0	0	0	0.364	0	0	0.182	18.6	4.7	24.3	6.9	52.33	11.38	1.9	18.44	26.44	5.06	1.29	0.04	0
B_E	B_E13	0.87	2	6.455	1.727	0.091	0	0	0.273	0.091	0.182	0	1.364	18.9	6.7	30.2	9.9	52.33	11.38	1.9	18.44	26.44	5.06	1.29	0.04	0
B_E	B_E14	0.87	2	2.091	3.455	0.273	0	0	0.636	3.364	0	0	0.273	33.9	7.9	36.8	8.4	52.33	11.38	1.9	18.44	26.44	5.06	1.29	0.04	0
B_E	B_E15	0.87	2	3.273	2.182	0	0	0	0	0.182	0	0.182	0	20.7	5.1	31.4	8.1	52.33	11.38	1.9	18.44	26.44	5.06	1.29	0.04	0
B_E	B_E16	0.87	2	2.909	3.545	0	0	0	0	0.182	0.182	0	0	21.5	5.7	26.3	7.1	52.33	11.38	1.9	18.44	26.44	5.06	1.29	0.04	0
B_E	B_E17	0.87	2	3.182	3.182	0	0.091	0	0	0	0	0.273	0.182	24	6.7	34	9.8	52.33	11.38	1.9	18.44	26.44	5.06	1.29	0.04	0
B_E	B_E18	0.87	2	5.727	2	0	0	0	0	0.091	0.182	0	0.091	22.2	5.9	30.2	8.7	52.33	11.38	1.9	18.44	26.44	5.06	1.29	0.04	0
B_E	B_E19	0.87	2	5.091	3.182	0.182	0	0	0	0	0	0	0.818	19.8	5.7	35.5	9	52.33	11.38	1.9	18.44	26.44	5.06	1.29	0.04	0
B_E	B_E20	0.87	2	2.091	4.091	0	0	0	0	0	0.182	0.091	0.818	20.5	5.2	38	10.7	52.33	11.38	1.9	18.44	26.44	5.06	1.29	0.04	0
B_E	B_E21	0.87	2	0.091	3.364	0	0.636	0	0	0.091	0	0	0.364	24.7	6.9	48.6	11.9	52.33	11.38	1.9	18.44	26.44	5.06	1.29	0.04	0
B_E	B_E7	0.87	2	1.273	3	0	0	0	0	1.091	0.909	0	0.182	20.2	5.4	24.4	7.9	52.33	11.38	1.9	18.44	26.44	5.06	1.29	0.04	0
B_E	B_E8	0.87	2	0.455	3.455	0.636	0.091	0	0.091	0.091	2.73	0.091	0.455	26.1	7.5	32.7	9.9	52.33	11.38	1.9	18.44	26.44	5.06	1.29	0.04	0
B_E	B_E9	0.87	2	2.727	2.909	0	0	0	0	0.273	0.455	0	0	17.8	5.1	19.5	7.3	52.33	11.38	1.9	18.44	26.44	5.06	1.29	0.04	0
B_W	B_W1	1.38	3	0.273	4.182	0.091	0.091	0.091	0.091	0.455	0.182	0	0.455	55.9	12.7	61.3	22.4	46.58	17	3.33	17	29.71	8.04	2.63	0.04	0
B_W	B_W2	1.38	3	0.091	3.909	1.273	0.091	0	0	0.455	0.273	0	1.182	35	9.4	41.9	12	46.58	17	3.33	17	29.71	8.04	2.63	0.04	0
B_W	B_W3	1.38	3	0	3.909	3.273	0.455	0.091	0	0.455	0.636	0.182	1.364	25.9	7.2	39.6	12.2	46.58	17	3.33	17	29.71	8.04	2.63	0.04	0
B_W	B_W4	1.38	3	2.364	3.545	0.636	0.273	0	0	0	0	0	0.182	38.2	9.4	46.6	11.3	46.58	17	3.33	17	29.71	8.04	2.63	0.04	0
B_W	B_W5	1.38	3	4.636	2.909	0.909	1.182	0.091	0	0.182	0.455	0	1.545	26	7.5	36.6	10.9	46.58	17	3.33	17	29.71	8.04	2.63	0.04	0
B_W	B_W6	1.38	3	2.909	3.455	0.091	0.455	0	0	0.273	0	0.091	0.364	33.5	8.4	37.9	9.1	46.58	17	3.33	17	29.71	8.04	2.63	0.04	0
C	C1	1	2	0.636	1.818	0	0.091	0.091	0	1.909	1.909	0	0	40.9	10.9	51.8	16.4	8.71	3.88	0.25	14.79	52.92	38.88	1.04	0	0.04
C	C2	1	2	0.091	2.364	0	0.182	0	0.091	0.182	0	0	0	50.1	13.2	53.6	17	8.71	3.88	0.25	14.79	52.92	38.88	1.04	0	0.04
C	C3	1	2	0.636	2.455	0	0	0	0	0	0.182	0	0	51.2	14.2	54.8	17.6	8.71	3.88	0.25	14.79	52.92	38.88	1.04	0	0.04
C	C4	1	2	0.091	2.636	1.818	0.455	0.091	0	1.182	1.091	0	0	49.8	12	55	18.7	8.71	3.88	0.25	14.79	52.92	38.88	1.04	0	0.04
C	C5	1	2	0.727	2.091	0.091	0	0.091	0	0.091	0.636	0	0	43.1	11.3	50.2	15.8	8.71	3.88	0.25	14.79	52.92	38.88	1.04	0	0.04
D	D1	0.92	2	0.7	2.2	0.1	3.5	0.2	0.4	0	0	0	0	34.7	8.1	31.1	10	46.6	9.77	1.98	14.1	31.42	5.38	0.77	2.02	0
D	D10	0.92	2	0	2.9	0.3	2.9	0	0.5	0.1	0	0	0	23.4	5.4	43	14.3	46.6	9.77	1.98	14.1	31.42	5.38	0.77	2.02	0
D	D11	0.92	2	0.2	2.4	0	1.3	0.1	0.7	0	0	0	0	43.1	20.8	52.5	22	46.6	9.77	1.98	14.1	31.42	5.38	0.77	2.02	0
D	D12	0.92	2	0	1.2	0	1.2	0	0	0	0	0.4	0	15.7	6.2	42	11.8	46.6	9.77	1.98	14.1	31.42	5.38	0.77	2.02	0
D	D13	0.92	2	0.1	1.3	0.2	1.1	0	0.1	0	0	0	0	7.3	3.2	37	12.6	46.6	9.77	1.98	14.1	31.42	5.38	0.77	2.02	0
D	D14	0.92	2	0	1.3	0.1	2.2	0.8	0.1	0.1	0	0.4	0	9.4	4.6	64.2	33.4	46.6	9.77	1.98	14.1	31.42	5.38	0.77	2.02	0
D	D15	0.92	2	0	2.9	0.2	1.4	0.1	0.5	0	0	0.1	0	11.8	4.6	44.1	16.4	46.6	9.77	1.98	14.1	31.42	5.38	0.77	2.02	0
D	D2	0.92	2	0	1.1	0.5	2	0	5.3	0	0	0	0	37.8	9.6	58.6	17.7	46.6	9.77	1.98	14.1	31.42	5.38	0.77	2.02	0
D	D3	0.92	2	0.4	4.6	0.1	2.7	0	0.8	0.1	0	0	0	34.8	9.5	46.1	14.8	46.6	9.77	1.98	14.1	31.42	5.38	0.77	2.02	0
D	D4	0.92	2	0.2	3.2	0	2.5	0	0.2	0	0	0	0	28.8	7.6	35	10.5	46.6	9.77	1.98	14.1	31.42	5.38	0.77	2.02	0
D	D5	0.92	2	0	3.8	0.1	1.2	0	0	0	0	0	0	42.6	10	48.1	14	46.6	9.77	1.98	14.1	31.42	5.38	0.77	2.02	0
D	D6	0.92	2	0.1	1.8	0.1	2.9	0.4	1.2	0	0	0	0	21.8	5.2	27.9	7.9	46.6	9.77	1.98	14.1	31.42	5.38	0.77	2.02	0
D	D7	0.92	2	0.2	2	0	3.8	0	4.6	0	0	0	0.1	34.4	10.1	38.6	13.7	46.6	9.77	1.98	14.1	31.42	5.38	0.77	2.02	0
D	D8	0.92	2	0.4	2.1	0	2.5	0.1	4.3	0	0	0	0	28	8.8	41.3	13.1	46.6	9.77	1.98	14.1	31.42	5.38	0.77	2.02	0
D	D9	0.92	2	0	2.5	0.2	3.8	0.2	1.4	0	0	0	0	14.2	5.3	39	13.4	46.6	9.77	1.98	14.1	31.42	5.38	0.77	2.02	0
J	J1	0.97	2	0.545	3.909	0.455	1.364	0.182	0.545	0	0	0	0	58.4	15.7	56.6	17.4	38.58	9.46	0.92	4.83	51.21	9.08	0.25	0	0
J	J10	0.97	2	0.273	2.818	0.091	0.919	0.727	0	0	0	0	0	42.6	10.2	59.2	15.2	38.58	9.46	0.92	4.83	51.21	9.08	0.25	0	0
J	J11	0.97	2	1.091	2.091	0	0.919	0.455	0	0	0	0	0	56.9	11.1	58.2	14.4	38.58	9.46	0.92	4.83	51.21	9.08	0.25	0	0
J	J12	0.97	2	1.182	2.818	0.273	1.364	0.091	0	0	0	0	0	52.2	12.8	56.8	16.4	38.58	9.46	0.92	4.83	51.21	9.08	0.25	0	0
J	J13	0.97	2	2.545	1.273	0.091	1.091	0.091	0	0	0.364	0	0	51.3	15.7	62.9	20.3	38.58	9.46	0.92	4.83	51.21	9.08	0.25	0	0
J	J14	0.97	2	0.091	3.182	0.182	0.455	0	0	0.091	0.364	0	0	28.6	8.2	39.7	11.3	38.58	9.46	0.92	4.83	51.21	9.08	0.25	0	0
J	J15	0.97	2	1.909	2.727	0	0	0.091	0	0	0	0	0	34.4	10	41.7	11.2	38.58	9.46	0.92	4.83	51.21	9.08	0.25	0	0
J	J2	0.97	2	0.545	3.364	1.091	2.727	0.273	0	0	0	0	0	50.9	14.1	54.7	16.6	38.58	9.46	0.92	4.83	51.21	9.08	0.25	0	0
J	J3	0.97	2	0.091	1.727	0.455	1.818	0.273	0.182	0	0	0	0	41.9	9.8	49.5	13.4	38.58	9.46	0.92	4.83	51.21	9.08	0.25	0	0
J	J4	0.97	2	0	2.091	0.636	1.727	0.182	0	0	0.091	0.091	0	54.7	13.5	49.7	13.9	38.58	9.46	0.92	4.83	51.21	9.08	0.25	0	0
J	J5	0.97	2	0.091	3	1.364	2.364	0	0	0	0.091	0	0	36.1	9.7	56.7	17.6	38.58	9.46	0.92	4.83	51.21	9.08	0.25	0	0
J	J6	0.97	2	1.182	1.818	1.364	1.182	0.091	0.273	0.364	0	0	0	30.5	9.7	52.1	14	38.58	9.46	0.92	4.83	51.21	9.08	0.25	0	0
J	J7	0.97	2	0.455	2.182	1.182	1.636	0.636	0	0.545	0.182	0	0	36.7	9.7	63.9	18.7	38.58	9.46	0.92	4.83	51.21	9.08	0.25	0	0
J	J8	0.97	2	1.364	2.182	0.091	2.545	0.818	0.273	0.091	0	0	0	54	14.8	65.5	20.2	38.58	9.46	0.92	4.83	51.21	9.08	0.25	0	0
J	J9	0.97	2	5.182	5.182	0.091	0.919	0.545	0	0	0.273	0	0	66.4	17.8	74.9	17.8	38.58	9.46	0.92	4.83	51.21	9.08	0.25	0	0
M_NE	M_NE16	0.76	1	8.364	1.182	0.091	0	0.273	0.091	0.818	0.909	0	0	12.1	5	21.1	6.6	39.88	13.21	5.63	20.58	44.88	6.42	1.58	0.04	0
M_NE	M_NE17	0.76	1	9.909	0.182	0	0	0.364	0	0.182	0.273	0	0	9.4	4	22.7	7.3	39.88	13.21	5.63	20.58	44.88	6.42	1.58	0.04	0
M_NE	M_NE18	0.76	1	10.818	0.273	0.727	0	0.273	0	0.091	0.091	0	0	13.1	4.8	21.9	7.4	39.88	13.21	5.63	20.58	44.88	6.42	1.58	0.04	0
M_NE	M_NE19	0.76	1	12.091	0.545	0.818	0	0.455	0	0	0.091	0	0	11	4.6	25.9	7.9	39.88	13.21	5.63	20.58	44.88	6.42	1.58	0.04	0
M_NE	M_NE20	0.76	1	3.545	1.364	0.545	0	0.455	0	0	0.364	0.364	0	15.8	5.6	31.6	10.2	39.88	13.21	5.63	20.58	44.88	6.42	1.58	0.04	0
M_NE	M_NE21	0.76	1	2.818	1.455	1.636	0	0.364	0	0.091	0.364	0	0	16.9	5.4	26.9	9.3	39.88	13.21	5.63	20.58	44.88	6.42	1.58	0.04	0
M_NE	M_NE22	0.76	1	3.091	1.364	0.364	0	0.909	0	0.091	0.818	0	0	15.3	6.8	31.4	10.6	39.88	13.21	5.63	20.58	44.88	6.42	1.58	0.04	0
M_NE	M_NE23	0.76	1	4	1.455	0.727	0	0.273	0	0.091	1.273	0	0	12.2	5.4	25	9	39.88	13.21	5.63	20.58	44.88	6.42	1.58	0.04	0
M_NE	M_NE24	0.76	1	0.727	2.636	1.364	0.091	0.091	0	0.182	0.273	0.091	0	12.4	5.6	29.3	10.2	39.88	13.21	5.63	20.58	44.88	6.42	1.58	0.04	0
M_NE	M_NE25	0.76	1	0.818	1.091	1.091	0.091	0.273	0	0.545	0.545	0.091	0	15.6	6.2	40.1	12.4	39.88	13.21	5.63	20.58	44.88	6.42	1.58	0.04	0
M_NE	M_NE26	0.76	1	0.909	1.091	0.545	0.091	1.182	0.091	0.091	0.545	0.455	0	19	6.5	35.5	11.1	39.88	13.21	5.63	20.58	44.88	6.42	1.58	0.04	0
M_NE	M_NE27	0.76	1	2	0.455	2	0.091	0.818	0	0	0.091	0	0	23.8	7.6	45.2	13.1	39.88	13.21	5.63	20.58	44.88	6.42	1.58	0.04	0
M_NE	M_NE28	0.76	1	6.727	2.455	2.545	0	1	0	0.182	0.182	0	0	15.78	5.67	28.55	9.36	39.88	13.21	5.63	20.58	44.88	6.42	1.58	0.04	0
M_NW	M_NW1	0.75	1	3.182	1.364	0	0.182	0.273	0	0.909	0.818	0.091	0	17.7	5.4	23.6	7.1	45.13	15.5	4.33	13.54	40.92	10.58	0.96	0.29	0
M_NW	M_NW10	0.75	1	7.636	0.091	0	0	0.091	0	0	0	0.455	0	14.8	4.2	24	7.7	45.13	15.5	4.33	13.54	40.92	10.58	0.96	0.29	0
