pond_id,area,depth_1,storage_proxy_m3,daily_loss_est,total_depth_loss_cm,total_volume_lost_m3,mean_daily_volume_lost_m3,z_loss_rate,z_total_loss,imp_50,imp_100,canopy_50,canopy_100,june_air_mean,june_water_mean,june_water_air,july_air_mean,july_water_mean,july_water_air,aug_air_mean,aug_water_mean,aug_water_air,june_air_min,june_air_max,june_air_range,july_air_min,july_air_max,july_air_range,aug_air_min,aug_air_max,aug_air_range,av_hrs_air_june_mintomax,av_hrs_air_july_mintomax,av_hrs_air_aug_mintomax,june_water_min,june_water_max,june_water_range,july_water_min,july_water_max,july_water_range,aug_water_min,aug_water_max,aug_water_range,av_hrs_water_june_mintomax,av_hrs_water_july_mintomax,av_hrs_water_aug_mintomax,june_msd,july_msd,aug_msd,june_scp,july_scp,aug_scp,june_msf,july_msf,aug_msf,june_hsf,july_hsf,aug_hsf,june_sei,july_sei,aug_sei,mean_season_ph,veg_abs_change,veg_percent_change,veg_mean_cover,veg_rate_per_event,slope_per_day,slope_per_week,veg_mean_cover_july.x,slope_per_day_log,log_area,veg_mean_cover_july.y,veg_mean_cover_july,drought_class,,,
AVL,5937.563072,67,1326.06,-0.04,1,59.375631,2.3750252,-1.69443135,-1.1404711,0,0,97.538678,81.600709,15.99103,17.66421,1.67318655,18.21435,18.73472,0.52037121,17.97078,18.76148,0.79069961,12.4423,21.9615,9.5192,13.8548,25.4839,11.6291,14.8654,24.2308,9.3654,8.5256,8.2043,7.8333,15.75,20.4808,4.7308,17.0645,20.5,3.4355,17.4423,20.5192,3.0769,7.141,8.7634,6.5769,8.848,9.105,9.824,99.996,99.999,99.999,0.966,0.976,0.99,0.465,0.516,0.693,0.448,0.438,0.363,6.917,5.935671,10.65101,60.18049,1.978557,0.08383716,0.5868601,59.68585,0.08050767,8.689054071,59.68585,59.68585,stable,,,
BGL,452.032462,74.5,112.27,-0.157197,3.5,15.821136,0.6878755,-1.04512998,-0.8956691,30.377907,37.8189095,55.813953,47.673837,15.29875,17.7041,2.40535199,17.7062,19.63295,1.92675264,17.30183,19.27649,1.9746633,12.6667,18.5,5.8333,14.6452,21.5645,6.9193,15,20.6304,5.6304,9.4444,9.0898,8.6522,17.05,18.825,1.775,18.7742,20.7903,2.0161,18.5682,20.3864,1.8182,4.0417,6.7887,5.1364,8.159,7.984,9.812,99.668,99.696,99.931,0.759,0.784,0.912,0.479,0.491,0.7,0.6,0.546,0.319,6.429,1.357293,3.751329,36.52099,0.4524312,0.02337062,0.1635943,36.18167,0.023101709,6.113753996,36.18167,36.18167,refill,,,
BGS,72.245233,22,5.3,-0.4202742,23,16.616404,0.3776455,1.09976093,1.0137861,25.4817987,26.8535826,2.569593,16.94704,15.9144,19.8191,3.90469468,19.34327,22.59834,3.25507463,18.80515,21.36735,2.56219502,11.4583,22.0833,10.625,13.5806,26.8871,13.3065,15.1087,25.6957,10.587,8.4444,7.9118,9.3761,16.7083,23.9167,7.2084,21.0556,29.2222,8.1666,18.5625,24.8125,6.25,7.4167,4.5926,4.3333,1.833,2.198,3.242,100,100,100,0.011,0.015,0.07,0.002,0.003,0.006,0.284,0.354,0.343,6.286,6,8.275862,75.5,2,0.1324503,0.9271523,74.5,0.124383692,4.280066346,74.5,74.5,refill,,,
BOO,127.690144,5,2.13,-0.2785714,5.85,7.469873,0.3557083,-0.31349747,-0.6655553,36.7647059,68.5454545,38.445378,20.545455,16.45408,15.73216,-0.72191789,19.29436,17.63614,-1.65822589,18.43536,NA,NA,11.6154,23.6346,12.0192,14,27.5385,13.5385,13.9762,25.119,11.1428,8.4872,7.2949,7.8095,12.7308,23.25,10.5192,13.875,27.875,14,NA,NA,NA,8.2564,6.4167,NA,9.179,9.495,10.605,99.951,100,100,0.961,0.965,0.979,0.607,0.668,0.872,0.56,0.519,0.303,7.5,4,4.395604,93,1.333333,0.06415307,0.4490715,92.33333,0.062179243,4.849606579,92.33333,92.33333,dryout,,,
CHS,524.655328,11,19.24,-0.4448622,19,99.684512,2.1670546,0.46487322,0.622103,38.5802469,59.5636733,41.666667,27.650939,16.68366,19.09153,2.40787182,19.64685,19.50046,-0.14638792,19.13708,18.45936,-0.67772059,11.8333,24,12.1667,13.4355,27.5323,14.0968,14.7381,24.9286,10.1905,7.9531,7.1613,8.2063,16,23.1296,7.1296,16.5806,23.5806,7,16.125,22.4167,6.2917,6.8296,7,7.1667,8.494,9.074,10.547,100,100,100,0.865,0.909,0.996,0.593,0.701,0.908,0.602,0.545,0.426,6.25,4.255641,4.83967,89.36234,1.418547,0.06685547,0.4679883,88.42042,0.064715509,6.262741529,88.42042,88.42042,dryout,,,
CSN,2644.494723,6,52.89,-0.4393939,6,158.669683,5.6667744,-0.68560541,-0.6508672,16.9076752,21.2474012,44.605117,33.180873,17.46786,20.55153,3.08367004,21.21616,23.43802,2.22185703,20.06823,NA,NA,12.35,25.625,13.275,14.4444,31.3889,16.9445,14.5227,30.0227,15.5,8.8,8.3827,8.3333,17.7037,25,7.2963,21,28.5,7.5,NA,NA,NA,8.2469,7.3333,NA,3.627,3.898,4.851,86.78,90.615,99.107,0.219,0.238,0.313,0.099,0.108,0.145,0.663,0.674,0.664,6,70.84889,383.6289,51.04105,35.42444,1.724287,12.07001,51.04105,1.002206743,7.880235295,51.04105,51.04105,stable,,,
GVI,1423.447089,34,161.29,0,0,0,0,0,0,69.2671395,72.906827,15.72104,12.322885,16.75454,19.69018,2.9356386,19.48265,22.63754,1.11439849,19.1207,20.2351,1.11439849,13.9074,21.6852,7.7778,15.6452,24.9194,9.2742,16.413,23.3913,6.9783,9.8148,6.4301,6.2609,15.0185,27.8519,12.8334,20.0357,26.25,6.2143,19.6667,22.8333,3.1666,9.7654,7.1667,5.0556,6.587,6.914,7.895,99.979,99.996,100,0.59,0.646,0.803,0.216,0.254,0.387,0.604,0.625,0.695,6.083,2.870343,8.845825,33.16614,0.9567809,0.03605363,0.2523754,32.44856,0.035418909,7.260836736,32.44856,32.44856,refill,,,
JCO,25620.62447,23,1963.25,-0.7714286,23,5892.743628,125.377524,0.90662948,1.0137861,1.9823789,7.5248462,52.108244,50.118315,17.26798,19.32004,2.05206481,19.7867,19.74457,-0.04213203,18.70515,NA,NA,15.7,20.25,4.55,14.2258,28.9516,14.7258,14.3636,25.9773,11.6137,9.0278,7.5161,6.9394,16.2778,24.2593,7.9815,16.5,26.4762,9.9762,NA,NA,NA,9.0648,10.3016,NA,4.515,4.822,5.894,82.672,85.655,93.674,0.362,0.393,0.5,0.182,0.206,0.295,0.808,0.859,0.896,6.167,3.87833,5.245048,75.88186,1.292777,0.07387295,0.5171106,75.23547,0.071271693,10.15115295,75.23547,75.23547,dryout,,,
MCC,8801.774812,50,1466.96,-0.8701299,19,1672.337214,57.6668005,1.86639918,0.622103,0,3.7423452,17.246596,22.748923,16.44748,20.34397,3.89649438,19.33942,23.27888,3.93945479,19.06745,21.45563,2.38818351,11.4706,23,11.5294,14.9545,28.2273,13.2728,14.18,26.88,12.7,9.9608,7.1818,9.3067,18.18,24.22,6.04,20.5645,27.2258,6.6613,19.6739,24.2609,4.587,8.2533,6.4742,6.5797,1.48,1.713,2.583,61.702,70.115,88.303,0.048,0.057,0.094,0.013,0.017,0.032,0.306,0.348,0.437,6.667,12.6877,31.97029,46.02976,4.229234,0.2303048,1.612134,43.91515,0.207261944,9.082708663,43.91515,43.91515,refill,,,
MSP,1881.613841,21,131.71,-0.547619,25,470.40346,7.8400577,0.48584549,1.2096277,20.0408998,42.1445405,21.063395,20.070699,19.71235,17.81777,-1.89458296,20.6215,20.98471,0.36320402,19.48647,NA,NA,14.94,27.4,12.46,13.45,30.3,16.85,13.6538,28.5962,14.9424,9.96,9.0222,8.359,14.12,23.32,9.2,15.0769,30.6154,15.5385,NA,NA,NA,9.44,9.1282,NA,4.925,5.253,6.391,99.794,99.97,100,0.359,0.413,0.604,0.122,0.141,0.228,0.715,0.746,0.806,6,31.19167,65.82659,63.98196,10.39722,0.4301206,3.010844,59.11719,0.357758776,7.539885114,59.11719,59.11719,dryout,,,
