"Var1","Var2","Correlation","Strength"
"veg_rate_per_event","veg_abs_change",0.999999999999998,"Very High"
"veg_mean_cover_july","veg_mean_cover",0.998477431702747,"Very High"
"july_msf","june_msf",0.998268230371646,"Very High"
"july_msd","june_msd",0.998015958747534,"Very High"
"july_scp","june_scp",0.997132424400868,"Very High"
"july_hsf","june_hsf",0.996549536356626,"Very High"
"aug_msd","july_msd",0.995359866350167,"Very High"
"aug_hsf","july_hsf",0.994666256385716,"Very High"
"aug_msd","june_msd",0.994319721945085,"Very High"
"aug_hsf","june_hsf",0.992865736095532,"Very High"
"july_msf","june_msd",0.989936635397857,"Very High"
"aug_msf","july_msd",0.989933109599057,"Very High"
"aug_msf","june_msd",0.9893747984916,"Very High"
"july_msf","july_msd",0.987566695226054,"Very High"
"aug_msf","aug_msd",0.987157116841652,"Very High"
"june_msf","june_msd",0.983797283958674,"Very High"
"june_msf","july_msd",0.979809540164556,"Very High"
"aug_msf","july_msf",0.977094940553441,"Very High"
"july_msf","aug_msd",0.973678836635738,"Very High"
"july_sei","june_sei",0.971946149835228,"Very High"
"july_air_range","july_air_max",0.965682644172585,"Very High"
"june_msf","aug_msd",0.963878091844076,"Very High"
"aug_msf","june_msf",0.963817431081905,"Very High"
"aug_hsf","june_msf",0.963654925891218,"Very High"
"aug_hsf","july_msf",0.96129367491022,"Very High"
"aug_scp","july_scp",0.960867486345383,"Very High"
"aug_air_mean","july_air_mean",0.955294565810932,"Very High"
"aug_air_range","aug_air_max",0.951771130233688,"Very High"
"june_hsf","june_msf",0.950372927871444,"Very High"
"canopy_100","canopy_50",0.948761500056957,"Very High"
"july_hsf","june_msf",0.948496538637649,"Very High"
"july_air_range","june_air_range",0.94748607811559,"Very High"
"aug_hsf","june_msd",0.947411419138971,"Very High"
"aug_hsf","july_msd",0.944823933963485,"Very High"
"aug_hsf","aug_msd",0.944582252386652,"Very High"
"july_hsf","july_msf",0.941942491642969,"Very High"
"aug_scp","june_scp",0.941833383543254,"Very High"
"june_hsf","july_msf",0.941568535009021,"Very High"
"july_air_max","june_air_max",0.934987888027334,"Very High"
"aug_scp","area",-0.933677994938688,"Very High"
"aug_water_range","july_water_range",0.930844912896191,"Very High"
"veg_percent_change","veg_abs_change",0.92831903337176,"Very High"
"veg_rate_per_event","veg_percent_change",0.928319030062555,"Very High"
"june_water_air","june_water_mean",0.926683359665615,"Very High"
"aug_hsf","aug_msf",0.92335536199058,"Very High"
"june_hsf","june_msd",0.920885145576474,"Very High"
"aug_water_max","july_water_range",0.919926395814939,"Very High"
"july_hsf","june_msd",0.9189865407323,"Very High"
"july_hsf","july_msd",0.917553377444509,"Very High"
"aug_water_mean","july_water_mean",0.915703040659619,"Very High"
"june_hsf","july_msd",0.914578434525608,"Very High"
"july_hsf","aug_msd",0.913695475505296,"Very High"
"june_hsf","aug_msd",0.912645852920935,"Very High"
"aug_msd","aug_water_mean",-0.912569695770032,"Very High"
"aug_water_mean","july_water_air",0.911524147467613,"Very High"
"june_air_range","june_air_max",0.910012364597307,"Very High"
"july_air_mean","june_air_mean",0.906878963784571,"Very High"
"aug_air_range","june_air_range",0.90648452203524,"Very High"
"aug_air_max","july_air_max",0.906397636983194,"Very High"
"june_msd","july_water_max",-0.90621951241242,"Very High"
"july_air_max","june_air_range",0.906066574092239,"Very High"
"july_air_range","june_air_max",0.905701258984057,"Very High"
"av_hrs_water_june_mintomax","june_water_max",0.905558727751466,"Very High"
"veg_percent_change","aug_water_range",0.900433982685798,"Very High"
"aug_msd","july_water_max",-0.900165258593448,"Very High"
"july_msd","aug_water_mean",-0.89982719602907,"High"
"aug_water_air","aug_water_mean",0.898716547948722,"High"
"imp_100","imp_50",0.89863070088836,"High"
"july_water_max","june_water_mean",0.898042459974278,"High"
"july_msd","july_water_max",-0.894614884737017,"High"
"aug_water_max","july_water_max",0.893616762518543,"High"
"aug_water_range","aug_water_max",0.892310702713443,"High"
"aug_msf","july_water_max",-0.89199156041286,"High"
"june_msd","aug_water_mean",-0.89020910962595,"High"
"aug_msd","july_water_air",-0.890193299329427,"High"
"july_msf","july_water_max",-0.888846421393315,"High"
"june_msf","july_water_max",-0.888736053324428,"High"
"aug_air_min","june_air_min",0.887430461801077,"High"
"july_msd","july_water_air",-0.88725647951196,"High"
"july_hsf","aug_msf",0.885715791617406,"High"
"july_water_max","july_water_mean",0.885401702807427,"High"
"july_water_air","july_water_mean",0.885389287261112,"High"
"aug_msf","aug_water_mean",-0.884919644466681,"High"
"aug_msf","july_water_air",-0.884764708909105,"High"
"june_hsf","aug_msf",0.882348227347482,"High"
"aug_msd","july_water_mean",-0.874292612910094,"High"
"june_msd","july_water_air",-0.868279209077022,"High"
"aug_air_range","july_air_max",0.864044528299676,"High"
"av_hrs_water_june_mintomax","june_water_range",0.862387920444699,"High"
"aug_air_range","july_air_range",0.861462629209793,"High"
"aug_water_air","july_water_air",0.860887262308631,"High"
"aug_air_max","june_air_range",0.859410443516239,"High"
"av_hrs_air_aug_mintomax","june_air_min",-0.859105857962705,"High"
"july_msd","july_water_mean",-0.858457572399155,"High"
"aug_water_max","june_water_mean",0.857714091822559,"High"
"june_msd","july_water_mean",-0.85675746851158,"High"
"aug_water_max","june_water_air",0.855061681809172,"High"
"aug_air_max","july_air_range",0.852457872607049,"High"
"july_water_max","june_water_air",0.852259972645933,"High"
